,comment,blacklist_suggestions,story_coherence,readability,rating_time,warm_up,user_suggestions,story_edit,story_old,implicit_fact_check,context_realization,false_gender,false_mood,topic_met,matches_style_tone,spelling_and_grammar,info_consistency,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date,avg_rating
0,Mit Überschrift&comma; die aus der Nennung des Sternzeichens besteht,-1,100,75,10:22,1,-1,-1,-1,-1,-1,-1,-1,100,100,80,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106507,2,,,,,,216,,,,,12806,2022-09-28 15:28:46,92.5
1,Innerhalb des längeren Textes wird handeln nur die letzten paar Zeilen von dem Thema.Es wird mehrfach die Sternenkonstellation Libar genannt&comma; obwohl das Thema „Pisces“ ist,-1,50,25,24:11,1,-1,-1,-1,-1,-1,-1,-1,25,50,90,25,-1,-1,-1,-1,-1,-1,-1,-1,-1,106306,1,,,,,,15,,,,,12806,2022-09-28 15:52:59,44.166666666666664
2,Größtenteils zu lange Sätze,-1,50,50,16:40,1,-1,-1,-1,-1,-1,-1,-1,100,75,90,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,106337,1,,,,,,46,,,,,12806,2022-09-28 16:09:40,73.33333333333333
3,Der Ausdruck passt  „Otherwise“ hier nicht&comma; dadurch entsteht ein (kleiner) Bruch,-1,75,75,9:35,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106455,2,,,,,,164,,,,,12806,2022-10-02 15:23:45,91.66666666666667
4,Wiederholung von:  retrograde in Virgo trines Pluto retrograde in Capricorn  etc.Inhalt wirkt etwas unzusammenhängend und nicht gut nachvollziehbar,-1,50,25,13:21,1,-1,-1,-1,-1,-1,-1,-1,75,50,90,50,-1,-1,-1,-1,-1,-1,-1,-1,-1,106307,1,,,,,,16,,,,,12806,2022-10-02 15:37:07,56.666666666666664
5,Text endet mit ;),-1,100,50,9:20,1,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106373,3,,,,,,82,,,,,12806,2022-10-02 15:46:28,87.5
6,-1,-1,75,50,19:0,1,-1,-1,-1,-1,-1,-1,-1,75,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106295,1,,,,,,4,,,,,12806,2022-10-02 16:05:29,79.16666666666667
7,Etwas &quot;Endzeit-mäßig&quot;  und negativ von der Stimmung her,-1,75,25,9:12,0,-1,-1,-1,-1,-1,-1,-1,100,0,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106383,3,,,,,,92,,,,,12806,2022-10-02 16:14:42,66.66666666666667
8,Der Aussage entsprechend eine passende Wortwahl genutzt,-1,100,100,10:20,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106472,2,,,,,,181,,,,,12806,2022-10-02 16:25:03,100.0
9,-1,-1,100,75,7:49,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,106449,2,,,,,,158,,,,,12806,2022-10-02 16:32:53,95.83333333333333
