comment,blacklist_suggestions,overall_quality,factual_correctness,readability,rating_time,warm_up,user_suggestions,action_coherence,linguistic_difference,content_similarity,identical_information,exhaustive_information,story_edit,story_old,grammar,implicit_fact_check,citation_correct,context_realization,false_gender,false_mood,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date
-1,-1,100,100,100,16:54,1,-1,100,90,100,100,100,-1,-1,100,100,100,-1,100,100,-1,Sprachliche Unterschiedlichkeit: Die Ortsangabe wurde durch eine weitere Information (Bundesland) ergänzt und unterscheidet sich somit gut vom Input,&quot;Wir möchten Anpassungen vornehmen&comma; um die betriebliche Altersversorgung wieder nachhaltig und wettbewerbsfähig aufzustellen&quot;&comma; erklärte ein Opel-Sprecher am Freitag im hessischen Rüsselsheim. ,-1,-1,-1,-1,-1,-1,105356,1,,,,,,0123dcd35b5a78b7ee91b268c0861814,,0,26.922.751.665.115.300,10.940.215.110.778.800,79689,2022-09-16 15:46:19
-1,-1,60,100,50,25:31,1,-1,75,100,80,100,75,-1,-1,100,100,-1,-1,100,100,-1,-1,-1,1. Information nicht mehr vollständig2. Falscher Tempus&quot;Krankenhaus&quot; statt &quot;Klinik&quot; für die Mutter verwendet,1. &quot;Die Minderjährigen waren von einem Anwohner bei etwa 15 Grad komplett durchgefroren und alarmiert worden.&quot;  2. &quot;Die Kinder werden ins Krankenhaus gebracht. &quot; ,-1,-1,-1,-1,105408,2,,,,,,e12cf17594c3cdb0c7353e53caeafe0b,,0,1.987.281.894.683.830,9.691.757.440.567.010,89491,2022-09-16 16:08:23
-1,-1,30,100,100,28:22,1,-1,75,50,70,100,100,-1,-1,60,100,-1,-1,100,100,-1,-1,-1,Im Input gibt es keine &quot;richtige Syntax&quot; in den Sätzen - dementsprechend ist der Output eher misslungen, Bundestrainer Joachim Löw: &quot;Gratulation an den FC Bayern zum sechsten Titel unter Hansi Flick&comma; für den ich mich riesig freue. Ebenso wie für unsere Nationalspieler&comma; die in ihrer Entwicklung von diesen Erfahrungen enorm profitieren.&quot; -> Joachim Löw / &quot;Gratulation an den FC Bayern zum sechsten Titel unter Hansi Flick&comma; für den ich mich riesig freue. Ebenso wie für unsere Nationalspieler&comma; die in ihrer Entwicklung von diesen Erfahrungen enorm profitieren.&quot;:,-1,-1,-1,-1,105448,3,,,,,,534404db32c9fee8b830ce497cce9676,,0,6.947.631.120.681.760,5.208.895.921.707.150,79689,2022-09-16 16:14:42
-1,-1,40,100,75,6:45,1,-1,100,30,100,100,100,-1,-1,80,100,90,-1,100,100,-1,-1,-1,1. &quot;Für&quot;statt &quot;bei&quot;2. Grammatik,1. &quot;(...) davon die Rede&comma; dass &quot;der nächste Öffnungsschritt&quot; für eine stabile Sieben-Tage-Inzidenz(...)&quot;  2. &quot;Eine Regierungssprecherin sagte der Funke-Zeitungen&comma;  (...)&quot; / &quot;Die Aussagen bestätigte Regierungssprecher Steffen Seibert auf Nachfrage dem Freitag.&quot;,-1,-1,-1,-1,105488,3,,,,,,12f4b49516c3a67f862cb6a2aa61c8bc,,0,27.607.126.712.799.000,22.683.747.053.146.300,89491,2022-09-16 16:15:09
-1,-1,70,100,75,3:19,1,-1,100,90,100,100,100,-1,-1,70,100,100,-1,100,100,-1,Gute sprachliche Unterschiedlichkeit ,-1,Vermehrte Grammatikfehler,-1,-1,-1,-1,-1,105378,1,,,,,,bcfa19d7dbfb721b83cb04c7810044b5,,0,2.995.810.103.416.440,15.539.818.048.477.100,79689,2022-09-16 16:18:02
-1,-1,90,100,75,21:55,1,-1,100,70,100,100,100,-1,-1,90,100,100,-1,100,100,-1,Sprachliche Unterschiedlichkeit,-1,-1,-1,-1,-1,-1,-1,105413,2,,,,,,1402251421ff6be699c051df722896c4,,0,58.403.963.804.244.900,2.936.624.026.298.520,79689,2022-09-16 16:39:58
-1,-1,90,100,100,5:16,0,-1,100,70,100,100,100,-1,-1,90,100,100,-1,100,100,-1,Sprachliche Unterschiedlichkeit: Syntax und Wortwahl wurde in den meisten Sätzen abgeändert,-1,-1,-1,-1,-1,-1,-1,105390,2,,,,,,55a43943a92d18504679e6c761cf5861,,0,799.462.661.743.164,52.971.123.695.373.500,79689,2022-09-16 16:45:15
-1,-1,70,100,100,4:8,0,-1,100,60,100,100,100,-1,-1,100,100,100,-1,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,105453,3,,,,,,488ecc138a1e6f357ee2f53266e65e84,,0,9.792.295.932.769.770,7.625.837.802.886.960,79689,2022-09-16 16:49:23
-1,-1,0,75,25,54:9,1,-1,75,60,40,75,75,-1,-1,70,75,100,-1,100,100,-1,-1,-1,1. Informationen wurden verändert2. Kausalzusammenhang nicht mehr erkennbar3. Kohärenz und Grammatik,1. &quot;Im Teamwettbewerb der World Series haben die deutschen Snowboardcrosser ihren Start kurzfristig abgesagt. &quot;  2. &quot;Sie kann an diesem Freitag in der Mixed-Staffel nicht mit Martin Nörl an den Start gehen&comma; weil sich Jana Fischer bei den Titelkämpfen im schwedischen Idre Fjäll im Einzelevent eine leichte Gehirnerschütterung zugezogen hatte. &quot;  3. &quot;Das teilte Snowboard Germany Wenige Stunden vor Beginn bekannt. &quot; / &quot;Am Donnerstag wurden Nörl (Adlkofen) und Berg (Konstanz) jeweils Fünfte und Sechste geholt.&quot;,-1,-1,-1,-1,105350,1,,,,,,0e4030169c16be0629d39fe73ecf39ad,,1,30.971.713.542.938.200,1.682.649.803.161.620,89491,2022-09-16 17:09:19
-1,-1,80,100,75,31:7,0,-1,100,70,80,100,100,-1,-1,80,75,100,-1,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,105341,1,,,,,,89a78a66fe73531c308a3201ce640182,,0,4.676.932.334.899.900,25.630.800.247.192.300,79689,2022-09-16 17:20:32
