,comment,blacklist_suggestions,story_coherence,readability,rating_time,warm_up,user_suggestions,story_edit,story_old,implicit_fact_check,context_realization,false_gender,false_mood,topic_met,matches_style_tone,spelling_and_grammar,info_consistency,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date,avg_rating
0,Well-written&comma;The horoscope warns about a serious matter and shows support,-1,100,100,9:30,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103939,2,,,,,,175,,,,,12805,2022-08-30 15:35:41,100.0
1,brief&comma; elaborate&comma; and sympathetic,-1,100,100,8:41,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103809,1,,,,,,45,,,,,12805,2022-08-30 15:44:24,100.0
2,-1,-1,100,100,0:31,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104071,2,,,,,,307,,,,,12805,2022-08-30 15:44:57,100.0
3,Detailed and supportive,-1,100,100,1:0,1,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103952,2,,,,,,188,,,,,12805,2022-08-30 15:45:59,100.0
4,Well-written.The horoscope tells of a romantic encounter,-1,100,100,18:38,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103854,1,,,,,,90,,,,,12805,2022-08-30 16:04:38,100.0
5,-1,-1,100,100,0:28,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104025,2,,,,,,261,,,,,12805,2022-08-30 16:05:08,100.0
6,-1,-1,100,100,17:23,0,-1,-1,-1,-1,-1,-1,-1,25,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103846,1,,,,,,82,,,,,12805,2022-08-30 16:22:33,87.5
7,To the point and encouraging,-1,100,100,1:2,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104027,2,,,,,,263,,,,,12805,2022-08-30 16:23:37,100.0
8,-1,-1,100,100,1:46,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104030,2,,,,,,266,,,,,12805,2022-08-30 16:25:24,100.0
9,an appropriate use of metaphor to express wise thoughts,-1,100,100,3:59,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103774,1,,,,,,10,,,,,12805,2022-08-30 16:29:25,100.0
10,-1,-1,100,100,1:50,0,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104017,2,,,,,,253,,,,,12805,2022-08-30 16:31:16,98.33333333333333
11,-1,-1,100,100,0:34,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103926,2,,,,,,162,,,,,12805,2022-08-30 16:31:52,100.0
12,-1,-1,100,100,29:35,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103975,2,,,,,,211,,,,,12805,2022-08-30 17:01:28,100.0
13,-1,-1,100,100,3:52,0,-1,-1,-1,-1,-1,-1,-1,75,75,100,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,103849,1,,,,,,85,,,,,12805,2022-08-30 17:05:22,87.5
14,-1,-1,100,100,5:40,0,-1,-1,-1,-1,-1,-1,-1,50,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103836,1,,,,,,72,,,,,12805,2022-08-30 17:11:04,87.5
15,-1,-1,100,100,3:8,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104026,2,,,,,,262,,,,,12805,2022-08-30 17:14:14,100.0
16,Addresses both couples and singles&comma; brief and to the point,-1,100,100,16:20,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104004,2,,,,,,240,,,,,12805,2022-08-30 17:30:36,100.0
17,-1,-1,100,100,6:16,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103940,2,,,,,,176,,,,,12805,2022-08-30 17:36:53,100.0
18,-1,-1,100,100,7:22,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103934,2,,,,,,170,,,,,12805,2022-08-30 17:44:17,100.0
19,-1,-1,75,100,1:9,0,-1,-1,-1,-1,-1,-1,-1,75,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103882,1,,,,,,118,,,,,12805,2022-08-30 17:45:28,91.66666666666667
20,-1,-1,100,100,0:50,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103848,1,,,,,,84,,,,,12805,2022-08-30 17:46:19,100.0
21,-1,-1,75,75,9:44,1,-1,-1,-1,-1,-1,-1,-1,75,50,90,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,103853,1,,,,,,89,,,,,12809,2022-08-30 17:47:56,73.33333333333333
22,Interesting advice told in a convincing manner,-1,100,100,3:16,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103806,1,,,,,,42,,,,,12805,2022-08-30 17:49:37,100.0
23,well-written and reassuring,-1,100,100,2:49,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104043,2,,,,,,279,,,,,12805,2022-08-30 17:52:28,100.0
24,-1,-1,100,100,0:39,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104055,2,,,,,,291,,,,,12805,2022-08-30 17:53:08,100.0
25,The first sentence occurs in another text identically,-1,100,100,5:39,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103936,2,,,,,,172,,,,,12805,2022-08-30 17:58:48,100.0
26,-1,-1,100,100,26:18,1,-1,-1,-1,-1,-1,-1,-1,100,75,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103968,2,,,,,,204,,,,,12809,2022-08-30 18:14:15,95.83333333333333
27,-1,-1,100,100,3:21,1,-1,-1,-1,-1,-1,-1,-1,75,100,90,75,-1,-1,-1,-1,-1,-1,-1,-1,-1,103839,1,,,,,,75,,,,,12809,2022-08-30 18:17:37,90.0
28,-1,-1,75,75,15:34,1,-1,-1,-1,-1,-1,-1,-1,100,100,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103883,1,,,,,,119,,,,,12809,2022-08-30 18:33:13,90.0
29,-1,-1,100,100,1:51,0,-1,-1,-1,-1,-1,-1,-1,100,75,90,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104008,2,,,,,,244,,,,,12809,2022-08-30 18:35:05,94.16666666666667
30,-1,-1,100,100,41:51,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103929,2,,,,,,165,,,,,12805,2022-08-30 18:40:41,100.0
31,Compact&comma; direct and simple,-1,100,100,5:0,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103977,2,,,,,,213,,,,,12805,2022-08-30 18:45:42,100.0
32,The implied reader&#039;s love interest is gernderless&comma; contrary to the previous round&#039;s horoscopes where they were either male or female,-1,100,100,4:4,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103995,2,,,,,,231,,,,,12805,2022-08-30 18:49:48,100.0
33,-1,-1,75,75,16:25,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103852,1,,,,,,88,,,,,12809,2022-08-30 18:51:31,91.66666666666667
34,Well-writtenThe tone is reassuring,-1,100,100,2:7,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104075,2,,,,,,311,,,,,12805,2022-08-30 18:51:56,100.0
35,-1,-1,100,100,11:3,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,104005,2,,,,,,241,,,,,12809,2022-08-30 19:02:36,100.0
36,-1,-1,100,100,10:52,0,-1,-1,-1,-1,-1,-1,-1,100,100,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,103911,1,,,,,,147,,,,,12809,2022-08-30 19:13:29,100.0
