comment,blacklist_suggestions,overall_quality,factual_correctness,readability,rating_time,warm_up,user_suggestions,action_coherence,linguistic_difference,content_similarity,identical_information,exhaustive_information,story_edit,story_old,grammar,implicit_fact_check,citation_correct,context_realization,false_gender,false_mood,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date
-1,-1,60,100,75,15:29,1,-1,100,60,100,100,100,-1,-1,90,100,100,-1,100,100,-1,-1,-1,-1,-1,I,-1,-1,-1,96837,1,,,,,,3ec9e062c20222a1fe62de2eed1efa17,,1,22.95344066619873,5.439530849456787,53332,2022-07-11 10:26:55
-1,-1,70,100,75,10:59,0,-1,100,60,90,100,100,-1,-1,90,100,100,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96873,2,,,,,,2d845d72c195c809f4e52734cc9a8b85,,0,28.119949340820312,7.315543413162231,53332,2022-07-11 10:38:07
-1,-1,50,100,75,7:6,0,-1,100,60,90,100,75,-1,-1,90,100,100,-1,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,96864,2,,,,,,6e7708940cd9a7a03e332c4ab73a9d6e,,0,11.7315936088562,2.8363571166992188,53332,2022-07-11 10:50:58
-1,-1,60,100,50,10:57,0,-1,100,60,90,100,100,-1,-1,70,100,100,-1,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,96827,1,,,,,,56424b19865411e5f623e80a2354318a,,0,33.13672399520874,10.271867036819458,53332,2022-07-11 11:01:57
-1,-1,70,100,100,7:0,0,-1,100,50,100,100,100,-1,-1,100,100,100,-1,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,96849,1,,,,,,6f1726c548f1b93fb3a5566daec56b16,,0,14.032985925674438,3.699632406234741,53332,2022-07-11 11:08:58
-1,-1,80,100,100,17:43,0,-1,100,70,100,100,100,-1,-1,100,100,100,-1,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,96858,2,,,,,,9edab9f89822c0a732ce1f8aef8b443c,,0,31.45601487159729,8.351928949356079,53332,2022-07-11 11:26:42
-1,-1,60,100,50,30:4,0,-1,100,60,90,100,100,-1,-1,90,100,100,-1,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,96890,2,,,,,,a1945d87fde73fc6c799fe6b1d594b40,,0,36.41954755783081,13.584901094436646,53332,2022-07-11 11:56:48
-1,-1,60,100,75,6:51,0,-1,100,60,100,100,100,-1,-1,80,100,100,-1,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,96829,1,,,,,,12537b25341ca99485befcf8cb378312,,0,20.73605847358704,5.702805280685425,53332,2022-07-11 12:27:00
-1,-1,60,100,75,12:15,0,-1,100,70,90,100,75,-1,-1,90,100,100,-1,100,100,-1,-1,-1,-1,-1,-1,-1,-1,-1,96861,2,,,,,,d7b1eaa1abcd06a5dccbe78838dd1bde,,0,14.200198650360107,4.011988162994385,53332,2022-07-11 12:39:35
-1,-1,70,100,75,13:54,1,-1,100,70,70,100,75,-1,-1,90,75,100,-1,100,100,-1,-1,-1,-1,-1,Hier wird aus &quot;auf seine Mutter getroffen&quot; (Input) im Output &quot;von der Mutter getroffen&quot;. Im Input begegnet der Täter also seiner Mutter. Im Output klingt es&comma; als würde seine Mutter etwas auf ihn werfen/schießen und ihn damit treffen. ,Anschließend sei er auf dem Weg zur Haustür von der Mutter getroffen worden&comma; die im Flur gerade den Notruf absetzte,-1,-1,96858,2,,,,,,9edab9f89822c0a732ce1f8aef8b443c,,0,31.45601487159729,8.351928949356079,79689,2022-07-11 12:51:49
