,comment,blacklist_suggestions,story_coherence,readability,rating_time,warm_up,user_suggestions,story_edit,story_old,implicit_fact_check,context_realization,false_gender,false_mood,topic_met,matches_style_tone,spelling_and_grammar,info_consistency,matches_fandom,positive_comment,positive_example,negative_comment,negative_example,implicit_fc_comment,implicit_fc_example,positive_comment_topic,negative_comment_topic,story_id,listvalue,story_group,length,topk,temperature,likelihood_score,hash,version,amount_fallbacks,duration_generation,dur_score,user,date,avg_rating
0,-1,-1,3,2,24:7,1,-1,-1,-1,-1,-1,-1,-1,4,4,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,101164,2,,,,,,109,,,,,12809,2022-08-01 13:33:29,3.1666666666666665
1,-1,-1,5,5,16:35,1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101344,5,,,,,,289,,,,,12809,2022-08-01 13:50:04,5.0
2,-1,-1,5,5,14:9,1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101272,4,,,,,,217,,,,,12809,2022-08-01 14:04:15,5.0
3,-1,-1,5,5,7:42,1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101387,6,,,,,,332,,,,,12809,2022-08-01 14:11:58,5.0
4,-1,-1,3,3,2:54,0,-1,-1,-1,-1,-1,-1,-1,2,3,3,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,101078,1,,,,,,23,,,,,12809,2022-08-01 14:14:53,2.8333333333333335
5,-1,-1,4,5,13:19,0,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101211,3,,,,,,156,,,,,12809,2022-08-01 14:28:13,4.833333333333333
6,-1,-1,4,5,0:26,0,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101118,2,,,,,,63,,,,,12809,2022-08-01 14:28:40,4.833333333333333
7,-1,-1,2,1,3:10,0,-1,-1,-1,-1,-1,-1,-1,3,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,101086,1,,,,,,31,,,,,12809,2022-08-01 14:31:52,2.0
8,-1,-1,5,5,12:24,0,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101302,5,,,,,,247,,,,,12809,2022-08-01 14:44:17,5.0
9,-1,-1,5,5,45:3,0,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101248,4,,,,,,193,,,,,12809,2022-08-01 15:29:22,5.0
10,-1,-1,5,3,5:43,0,-1,-1,-1,-1,-1,-1,-1,3,4,5,3,-1,-1,-1,-1,-1,-1,-1,-1,-1,101364,6,,,,,,309,,,,,12809,2022-08-01 15:35:05,3.8333333333333335
11,-1,-1,5,5,49:42,0,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101233,3,,,,,,178,,,,,12809,2022-08-01 16:24:48,5.0
12,-1,-1,5,2,3:11,0,-1,-1,-1,-1,-1,-1,-1,4,3,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,101218,3,,,,,,163,,,,,12809,2022-08-01 16:28:01,3.6666666666666665
13,-1,-1,1,2,10:35,0,-1,-1,-1,-1,-1,-1,-1,1,-1,3,1,-1,-1,-1,-1,-1,-1,-1,-1,-1,101110,1,,,,,,55,,,,,12809,2022-08-01 16:38:37,1.1666666666666667
14,-1,-1,5,3,9:57,0,-1,-1,-1,-1,-1,-1,-1,5,4,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101373,6,,,,,,318,,,,,12809,2022-08-01 16:48:35,4.333333333333333
15,-1,-1,4,3,21:25,0,-1,-1,-1,-1,-1,-1,-1,4,4,4,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,101312,5,,,,,,257,,,,,12809,2022-08-01 17:10:02,3.8333333333333335
16,-1,-1,4,3,8:13,0,-1,-1,-1,-1,-1,-1,-1,4,5,4,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101132,2,,,,,,77,,,,,12809,2022-08-01 17:18:15,4.166666666666667
17,-1,-1,5,5,11:53,0,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101295,4,,,,,,240,,,,,12809,2022-08-01 17:30:10,5.0
18,-1,-1,5,4,32:0,0,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101231,3,,,,,,176,,,,,12809,2022-08-01 18:02:11,4.833333333333333
19,-1,-1,5,5,15:57,0,-1,-1,-1,-1,-1,-1,-1,4,5,5,4,-1,-1,-1,-1,-1,-1,-1,-1,-1,101311,5,,,,,,256,,,,,12809,2022-08-01 18:18:09,4.666666666666667
20,-1,-1,5,5,3:36,1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101284,4,,,,,,229,,,,,12807,2022-08-04 10:41:02,5.0
21,-1,-1,5,5,6:5,1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101196,3,,,,,,141,,,,,12807,2022-08-04 10:47:10,5.0
22,-1,-1,5,5,3:47,1,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101139,2,,,,,,84,,,,,12807,2022-08-04 10:50:59,5.0
23,-1,-1,5,5,6:12,1,-1,-1,-1,-1,-1,-1,-1,4,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101302,5,,,,,,247,,,,,12807,2022-08-04 10:57:13,4.833333333333333
24,-1,-1,4,5,4:22,0,-1,-1,-1,-1,-1,-1,-1,5,5,5,5,-1,-1,-1,-1,-1,-1,-1,-1,-1,101369,6,,,,,,314,,,,,12807,2022-08-04 11:01:37,4.833333333333333
